Gene,AgingVeh1,AgingVeh2,AgingVeh3,AgingVeh4,AgingVeh5,AgingVeh6,AgingVeh7,AgingVeh8,AgingVeh9,YoungVeh1,YoungVeh2,YoungVeh3,YoungVeh4,YoungVeh5,YoungVeh6,YoungVeh7,YoungVeh8,YoungVeh9,YoungVeh10,YoungVeh11,YoungVeh12,YoungVeh13,YoungVeh14,YoungVeh15,YoungVeh16,YoungVeh17,YoungVeh18,YoungVeh19,YoungVeh20
Cfp,0.75639643,1.17529347,0.187050113,3.113900855,1.695212763,1.344822943,-0.19047438,2.021302636,-0.379405265,-0.286638249,-0.399955022,-0.5146209,-1.537539462,-0.470654538,-0.300426421,-0.15860981,-0.711509897,-0.508011892,-0.532978361,-0.747285265,-0.914807141,-0.565983247,-0.202857235,-0.086834222,-1.062325327,-0.157838893,-0.428358496,-0.0634658,-0.073399387
Chmp5,-0.717525931,-0.148271869,-0.329726926,-0.339841256,-0.227954519,-0.312291782,-0.148137061,-0.470657257,-0.230107699,-0.956261201,-0.956261201,0.343948892,4.248818126,0.559866067,0.098153063,-0.956261201,-0.123796762,-0.956261201,0.324053506,0.534990281,0.56204546,0.122650638,-0.150702154,-0.038092697,1.664058115,-0.956261201,0.134858234,-0.207568582,-0.367461879
Colec11,1.395775119,1.693701828,1.380992354,2.40338626,1.226089828,0.74978318,0.082834716,-0.362014804,-0.489314146,0.117173925,-1.000701004,-0.864196877,-2.167381399,-0.361601482,0.573346969,0.285395834,0.366790409,-0.670144227,0.107276547,-0.242274407,-1.474970833,-1.452342404,-0.898647794,-0.092108324,-0.264645906,-0.100881169,-0.280683531,-0.036738118,0.376099455
Cp,0.126290957,-0.033096117,0.185194876,0.691075589,0.635636607,1.650862969,0.628706734,4.457461445,0.216379304,-0.431563801,-0.500862529,-0.348405328,-0.719153522,-0.52858202,-0.507792402,-0.348405328,-0.552836575,-0.421168992,-0.441958611,-0.462748229,-0.597880748,-0.393449501,-0.563231384,-0.2791066,-0.497397593,-0.223667618,-0.143974081,-0.313755964,-0.282571537
Cpb2,-0.551584654,0.289967758,0.033536045,1.115078373,1.887839014,2.854041219,2.754756119,0.4034707,0.984715916,-0.575398381,-0.606402251,-0.597367191,-0.932399285,-0.412206476,-0.498847906,-0.48886138,-0.254870343,-0.502131624,-0.327030923,-0.278776895,-0.684445677,-0.630834817,-0.773736514,0.064617271,-0.760017611,-0.65716258,-0.016241875,-0.318796487,-0.520909543
Csmd1,-0.682197591,-0.473252118,0.126546261,0.827279512,1.180467174,1.965621023,1.234782798,4.040358083,-0.305298337,-0.405451048,-0.286239777,-0.450095842,-0.337504798,-0.495733306,-0.662848671,-0.489623025,-0.489819019,-0.37574895,-0.376384114,-0.374651023,-0.300327722,-0.478761715,-0.569299853,-0.181875019,-0.412276343,-0.298777921,-0.155775209,-0.365123558,-0.407989891
Csn2,-0.238400849,1.173211889,0.830061986,1.621999714,-0.088584253,2.205423887,0.37473981,1.000697849,-0.770645259,-1.138045412,-1.124664893,-0.965480434,-1.128454569,1.040700552,0.800522771,0.593611388,-1.138045412,-1.085924989,0.908469707,0.768560102,-1.066747163,-0.930398017,-1.078874308,-0.731629889,0.529425753,-1.077960576,0.181909145,-0.274070506,0.808591976
Ctnnd1,-1.276070261,-0.521211724,-0.298100417,-0.99955325,-0.396649582,-0.848707237,-0.520995009,-0.770305307,1.433566735,0.008725939,-0.14438113,0.073841457,3.275839608,-0.604305525,-0.830521269,0.121840132,-1.536922418,0.096200987,0.363411912,0.09182877,0.140533573,-0.282121326,-1.145759764,-0.33555412,1.362990009,0.601924404,1.354754854,0.930572116,0.655127842
Dcst1,1.307698352,0.582281361,1.041182468,0.774916815,0.504501512,0.958919331,0.541389596,3.713910766,-0.117731022,0.061260637,-0.230928853,-0.235960562,-1.131402635,-0.507518582,-0.407678867,-0.264134384,-2.146769556,-0.22246482,-0.422133824,-0.506630265,-0.784252194,-0.578246113,-0.267860727,-0.147748205,-0.856929435,-0.221445133,-0.414053478,-0.097007801,0.074835619
Ddias,1.413878299,0.585619363,1.008026925,0.654106973,0.677436493,0.863607897,0.472491759,3.705116086,-0.414357645,0.232674649,-0.092331022,-0.290822424,-1.143927071,-0.682296657,-0.433092881,-0.298250994,-2.08644123,-0.098616736,-0.352513844,-0.593283336,-0.876117583,-0.437207166,-0.374852889,-0.210205292,-0.717100462,-0.101230068,-0.413946217,-0.069291025,0.072926099
Dhrs1,-0.81068871,1.05576653,-0.81068871,0.966056096,1.483252116,2.106672376,1.778232275,1.612918064,-0.81068871,-0.81068871,0.31813733,0.731382826,-0.81068871,1.189072561,0.779621932,-0.81068871,-0.81068871,-0.81068871,-0.81068871,0.454186767,0.402654507,-0.81068871,-0.81068871,0.093065979,-0.81068871,-0.81068871,-0.81068871,-0.81068871,-0.81068871
Dnah12,-0.834783164,1.187976362,0.524145402,2.328373826,0.136359504,2.347113657,0.407486016,1.46639671,-0.922881892,-0.922881892,-0.922881892,-0.922881892,-0.922881892,0.816413279,0.823119199,0.537155674,-0.922881892,-0.922881892,0.588464492,0.356389793,-0.915143445,-0.922881892,-0.922881892,-0.635997124,-0.289882417,-0.922881892,0.102176373,-0.278221203,0.561275989
Efhc1,-0.195023698,0.716445829,0.717984347,1.549585859,0.077972011,2.68295919,0.546133402,0.743056349,-0.762660089,-1.026316778,-1.082952815,-0.985328412,-1.14510564,0.87998805,0.596933645,0.601465345,-1.14510564,-1.026492869,0.664409668,0.738736104,-1.074688569,-0.878542902,-1.037523164,-0.764202252,1.099864803,-1.074324721,0.30248619,-0.339884963,0.620131718
Egln1,1.159166742,0.580032216,0.418202661,1.239972707,0.630471075,1.798298902,-0.244493302,3.802444193,-0.845052206,-0.056324384,-0.139551012,-0.298866157,-0.936053082,-0.170033627,-0.140968925,-0.243505618,-1.449223691,-0.364219049,-0.357561387,-0.506500826,-0.643326903,-0.482801426,-0.30938918,-0.069825525,-0.658314593,-0.255749554,-0.685922879,-0.295739049,-0.475166124
Elp1,-0.765628725,-0.278636724,-0.429590083,-0.47221438,-0.502825905,-0.289453387,-0.528195224,-1.007830418,-0.122935847,-0.111115044,0.1466464,0.952838489,3.468572753,0.912872212,-1.016274798,-0.312142537,-1.36698497,0.294587337,-0.056286008,1.113685587,1.985877778,1.017125645,-1.002085404,-0.046628537,0.388954413,-0.529081231,-0.367333359,-0.444630044,-0.631287988
Exoc2,0.031401615,0.070135596,0.390740396,1.305612163,1.564502501,1.832891688,2.442519488,1.77745058,-0.89643477,-1.183525279,0.129176169,0.204839724,0.11892938,-1.183525279,-0.355719424,-1.183525279,-1.183525279,-1.183525279,0.095883456,-0.145813595,-0.11494234,-0.198618211,-0.368155809,0.232934248,0.328137755,-1.183525279,-1.183525279,-0.118083692,-0.042709963
Fbxw11,-0.855228048,-0.959152318,-1.012639482,-0.742331845,0.682553485,-0.905472231,-0.578189102,0.318963231,1.573382373,0.164683113,2.573322413,-0.754787387,-0.213067004,-0.753542304,-0.840802393,-0.454319399,-1.024016651,1.65278455,-0.625733947,-0.931098385,1.58767854,0.925777043,0.026371504,-0.648058929,-0.307787625,1.566058668,0.392451922,0.445757174,-0.303556967
Fcn1,1.997518792,1.84149669,-1.397000522,1.511973046,0.766847273,0.829550885,1.092837105,0.681492789,-0.915117874,-1.397000522,-0.361567798,0.207668955,-0.304595856,-0.743434952,0.70806533,-1.397000522,-1.397000522,-0.458273575,-0.236936288,-0.463660484,-1.091282703,-1.049463057,0.077142013,0.34618576,-0.014116523,0.389591312,-0.775118592,0.237947689,1.313252154
Fga,-0.076045406,1.130166188,0.96747869,1.65309029,-0.087665942,2.303840283,0.374831375,1.536884934,-0.898779326,-1.104133363,-1.144171919,-1.049846288,-1.176276786,0.642103693,0.584001015,0.514277802,0.560759944,-1.118752927,0.630483158,0.38645191,-1.144535177,-1.016146735,-1.126123833,-0.847648969,0.316728697,-1.132486424,0.037835843,-0.370044956,0.653724229
Fgb,-0.086620978,0.969402892,0.945537946,1.756946118,-0.112872419,2.305839881,0.360846763,1.566026548,-0.887289924,-1.083183903,-1.124869521,-1.037639085,-1.154281396,0.694956011,0.635293645,0.551766333,0.575631279,-1.126820361,0.515968914,0.480171495,-1.126105964,-1.010194397,-1.122540183,-0.837173537,0.134129774,-1.122073146,-0.006673408,-0.396865279,0.742685903
Fgg,-0.06760677,1.02507696,0.933562409,1.812102091,-0.120685209,2.306280662,0.355190452,1.519255531,-0.872934811,-1.077839916,-1.128295365,-1.032491528,-1.161164518,0.629734103,0.677321669,0.631564394,0.611431193,-1.124271287,0.472329076,0.4064386,-1.122191528,-1.008549857,-1.122337219,-0.819856372,0.001944288,-1.123352481,0.018416908,-0.351301875,0.732230399
Flg2,-0.026075447,0.412051964,0.211450199,1.20612096,0.718736013,2.214679931,0.734448576,3.06401912,0.017169432,-0.10570461,-0.14641852,-0.077748324,-0.592543536,0.140647308,0.120322472,-1.748881539,-1.748881539,-1.748881539,-0.727991482,-0.250291024,-0.136513053,-0.236043082,-0.267635226,0.163233315,-0.678985758,0.067262059,-0.037124347,-0.307655368,-0.232766955
Frem2,0.264638533,0.084903958,0.13428081,1.657760487,1.339359551,1.966938267,2.509516488,2.517888931,-0.391925423,-0.390136797,-0.2765431,-0.767577985,-0.826633834,-0.505306442,-0.457157454,-0.201822064,-1.078794643,-0.515210169,-0.61838333,-0.65538513,-0.789429989,-0.5174518,-0.322552542,0.362803825,-0.641234214,-0.317015813,-0.513994357,-0.528697529,-0.522838237
Gapdh,-0.592636298,-0.676500568,-0.676500568,-0.57751821,0.616884918,-0.446856873,-0.502139995,-0.347660962,0.508449783,0.443929642,4.356582226,-0.329341354,0.175242062,-0.610418496,-0.676500568,-0.611879829,-0.676500568,0.984949311,-0.676500568,-0.676500568,0.925212035,0.807215583,0.393793394,-0.124578262,-0.330279396,0.252231184,-0.039192653,-0.255147825,-0.637836577
Gmnn,-1.131569737,-0.490030807,-0.548531664,-1.120642411,-1.039365629,-0.874470496,-0.933048126,-2.442481567,0.246258527,-0.186381672,-0.033706206,0.514796911,2.490250075,1.730954498,0.419099643,-0.327490039,-0.262783382,0.053111011,0.258580558,1.0478687,1.586954356,0.514681752,-0.164207134,1.23990301,0.185902327,-0.20497348,0.478521773,-0.470095476,-0.537105316
Gsn,-1.322998565,-1.122310345,-1.055414272,-1.21150511,-0.787829979,-0.966219508,-1.122310345,-2.937593269,-0.698635215,0.750779705,0.66158494,0.839974469,-1.033115581,0.193312428,0.616987558,0.906870542,0.304805883,0.616987558,0.616987558,0.795377087,0.304805883,0.728481014,0.66158494,0.304805883,0.148715046,0.773078396,0.728481014,1.241350908,1.06296138
H2-Q10,1.480992902,0.757389259,0.681417383,2.016061375,2.4088839,1.191521983,1.446193737,-0.749910054,-0.104345515,0.095105212,0.027790162,-0.668625253,-1.998899094,-0.599473757,-0.69386901,-0.18569906,-0.712729402,-0.117225184,-0.754471705,-0.901770332,-1.014289434,-0.700109978,-0.114779864,0.430683675,-1.311518598,0.212495313,-0.225899535,-0.098625037,0.203705909
Hba,-0.752790951,-0.819872698,-0.80425149,-0.720594508,-0.016569871,-0.733871137,-0.582231284,-0.519832183,0.475840424,0.195044471,2.246075783,-0.487276131,0.631838176,-0.42487703,-0.636491372,-0.639204376,-0.336704388,1.364349359,-0.549675232,-0.807926797,3.263452426,1.635649797,0.383598275,-0.631065363,0.216748506,0.260156576,-0.233610221,-0.31364385,-0.662264913
Hbb-b1,-0.749493293,-0.814648483,-0.806154196,-0.71708884,0.017412107,-0.750128675,-0.619240098,-0.438156387,0.538424889,0.316041385,2.508107359,-0.53219284,0.290626127,-0.4616655,-0.635124634,-0.536005129,-0.160494697,1.345359321,-0.577940304,-0.74377486,3.143488801,1.580450454,0.595609219,-0.649738407,-0.198617583,0.246149426,-0.297737088,-0.283758697,-0.609709376
Hp,-0.441083129,-0.441083129,-0.320477953,1.991221594,1.279837847,3.356450697,1.954606254,1.698298875,-0.333174061,-0.436966749,-0.440688212,-0.437916624,-0.437715303,-0.440200506,-0.43282297,-0.441083129,-0.433629083,-0.440874443,-0.441083129,-0.44095247,-0.436889789,-0.436541049,-0.441083129,-0.423330914,-0.435612327,-0.438778256,-0.441083129,-0.434806266,-0.432539515
Hpx,-0.388451469,-0.404771777,0.166439003,1.161977792,1.251739486,2.68792659,1.66790734,3.2183366,-0.282369467,-0.469236994,-0.455364732,-0.444756532,-0.594903365,-0.339490545,-0.505141671,-0.54267838,-0.487189332,-0.521461979,-0.457812778,-0.363971007,-0.461892855,-0.52309401,-0.451284655,-0.192607773,-0.298689775,-0.501061594,-0.404771777,-0.489637379,-0.573686965
Hspa5,1.26328495,0.510100613,1.068011638,0.271468649,1.031416935,2.713577993,0.997320627,2.366169714,0.735528111,-0.28736111,0.113343156,-0.575820371,-0.502898147,-0.060813319,-0.541489692,-0.213346718,-1.431635811,-0.33948993,-0.943581436,-0.680570189,-1.162563728,-0.313535675,-0.532733588,-0.944265799,0.304013419,-0.620491502,-0.523429055,-0.900489966,-0.799719768
Itga9,-0.114135986,-0.028720388,-0.43660577,-0.958933446,-1.309088142,-1.202645598,-1.085723551,-1.238652969,-1.307831281,0.065968806,-0.08986498,1.335806103,1.075347126,0.55976234,1.295858303,0.5630064,-3.22476519,0.460470316,0.623641454,0.506889252,0.743841531,0.836288757,0.628550006,0.496087041,0.204427338,0.587124545,0.282760354,0.634902249,0.096235379
Itih2,1.92615192,0.742082347,0.994271509,1.64469131,1.623964471,0.85275179,0.972635266,1.782156601,0.831816547,-0.15465338,-0.202959164,-0.437358105,-1.575464872,-0.840142082,-0.596731197,-0.522709482,-1.099518062,-0.208358752,-0.462050956,-1.198125269,-1.307803208,-1.205918358,-0.424525401,-0.028745101,-1.10245468,0.22640594,-0.237327066,-0.330376802,0.338294237
Itih3,0.055190626,-0.071811973,0.062472181,1.892395738,1.953346258,1.912712578,2.258098858,2.420633578,0.121842051,-0.516423668,-0.50611084,-0.536935549,-0.80097117,-0.708625037,-0.725823242,-0.557073601,-0.669655307,-0.502766688,-0.612863644,-0.46375226,-0.504383908,-0.411832575,-0.470156128,-0.274992563,-0.643854951,-0.416080827,-0.507098238,-0.456003417,-0.319476284
Itih4,-0.494528321,-0.272770371,-0.355929603,1.048537414,1.455093655,2.074167932,3.284596742,2.185046907,0.13378587,-0.457568663,-0.559207723,-0.476048492,-0.53148798,-0.466808578,-0.586927467,-0.559207723,-0.654640333,-0.476048492,-0.466808578,-0.392889261,-0.577687552,-0.457568663,-0.666079347,-0.152651482,-0.263530457,-0.328209859,-0.245050628,-0.365169517,-0.374409432
Kctd8,0.062256305,1.118937808,1.201010158,1.796034694,-0.081370307,2.124324093,0.246919092,1.570335732,-0.87511252,-1.069385979,-1.133988203,-1.040856604,-1.184438856,0.370027617,0.513654229,0.708576059,0.729094147,-1.127334495,0.400804748,0.18536483,-1.146114085,-1.007786577,-1.128002667,-0.788034783,0.02122013,-1.115891045,0.000702043,-0.295479627,0.944534065
Kif5a,-0.71965266,-0.395693341,-0.280376824,-1.164861503,-0.424596341,-0.564749064,-0.379332859,-1.355742607,-0.20471737,0.127041171,-0.006229886,0.425767712,4.045936512,0.255809985,0.013139868,0.000480711,-2.077751524,0.163828928,0.168478913,0.352728735,1.113382292,0.356919942,0.074934902,0.157390487,0.689176141,-0.001859833,0.26515661,-0.101033592,-0.533575503
Kirrel1,-0.722604486,0.688146488,1.716819072,0.511802616,0.835099714,0.42363068,0.570583907,3.81825021,0.791013746,0.261982131,-0.031924322,-0.296440129,-1.457370618,-0.825471744,-0.560955937,-0.178877548,-0.296440129,-0.487479323,-0.531565291,-0.854862389,-1.075292229,-0.737299808,-0.590346582,-0.13479158,-0.781385776,0.041552292,0.129724227,-0.017228999,-0.208268193
Lats1,-1.984635236,0.171226048,-0.810139166,0.12112038,-0.054663278,-0.141451584,-0.827110594,-1.249607826,-0.743737503,-0.418921114,0.281340554,0.114204333,-1.234672208,0.62272882,1.411938275,0.421392888,-2.811530965,0.150925024,0.940676727,0.287495551,0.298587863,0.795002133,1.43348552,0.362126074,-0.893968888,0.774425227,0.9047266,0.979328584,1.09970776
Ldlrap1,0.519015717,0.265665672,0.353857457,2.446126404,1.143346154,2.582044342,1.343592801,1.47514947,-0.177796026,-0.240623071,-0.340716658,-0.531564276,-1.140038033,-0.138613995,-0.266758467,-0.245531976,-2.332237827,-0.365407385,-0.071591707,-0.214452983,-0.56745801,-0.448192188,-0.234814654,-0.194309374,-0.463788679,-0.52327291,-0.680566019,-0.556748123,-0.394315656
Lum,-0.688668527,-0.705292864,-0.687639377,-0.397449676,-0.769945894,-1.306387727,-1.430665218,-1.724849243,-0.649153247,0.831126026,1.081881963,0.838202705,-1.368360891,0.136938951,0.503637285,-1.098025632,-1.366730555,0.967656515,0.458996635,0.292513808,0.283501104,0.88772927,2.308221048,1.332439203,0.373001481,-0.14231221,0.413505153,0.901454665,0.724675245
Lyz2,-0.49415503,-0.266965882,-0.785145177,1.007038926,1.855661938,2.043330624,0.26647341,3.393886261,0.195892792,-0.05629432,0.125220197,0.046043812,-0.201544397,-0.55907398,-0.617709156,-0.791247503,-1.164972749,0.137821191,-0.843430836,-0.820303371,-0.213041655,0.177346671,0.239247904,0.398328137,-0.850319157,-0.069171248,-0.798452729,-0.465303186,-0.889161491
Med13l,0.546966377,0.572260827,1.135866496,0.718492032,1.254308002,0.782096836,0.932655988,2.995591017,0.324723585,0.180533462,-0.28108759,-0.193924858,-0.870019768,-0.581660894,-0.568009158,0.049626398,-2.981785803,-0.146306746,-0.538525681,-0.657560275,-0.863164513,-0.749526495,-0.550505013,0.087728368,-0.748826543,-0.053159691,-0.03309618,0.021970277,0.214339543
