Gene,AgingVeh1,AgingVeh2,AgingVeh3,AgingVeh4,AgingVeh5,AgingVeh6,AgingVeh7,AgingVeh8,AgingVeh9,YoungVeh1,YoungVeh2,YoungVeh3,YoungVeh4,YoungVeh5,YoungVeh6,YoungVeh7,YoungVeh8,YoungVeh9,YoungVeh10,YoungVeh11,YoungVeh12,YoungVeh13,YoungVeh14,YoungVeh15,YoungVeh16,YoungVeh17,YoungVeh18,YoungVeh19,YoungVeh20
Pla2g7,-0.267817895,-0.2781692,-0.369664639,0.978526941,1.007423634,2.306835039,0.322318711,4.138174492,-0.287594779,-0.355610428,-0.259508798,-0.235841058,-0.491692221,-0.335314576,-0.415286123,-0.352858496,-0.5556487,-0.546380214,-0.307208959,-0.335766219,-0.478678751,-0.349739078,-0.599455199,-0.146025953,-0.306810616,-0.313125193,-0.300728874,-0.377533314,-0.486819533
Pld1,0.487161134,0.136455355,-0.223359164,2.174927068,1.53380894,0.883393467,1.612152677,2.260656386,0.099175961,-0.303931863,-0.304261921,-0.674222505,-1.388364866,-0.177198213,-0.237928862,-0.229655982,-2.583050058,-0.316002551,-0.389215388,-0.601318293,-0.570772937,-0.420892371,0.2793747,0.251799865,-1.126148889,0.160060922,-0.350787222,-0.159923755,0.178068366
Plin4,0.063594264,0.106290777,-0.442389788,-0.50193279,-0.965646478,-1.163787675,-1.080869941,-1.496715298,-0.147440209,0.108512193,0.055035014,0.329465967,0.595346736,1.669732082,2.454390444,0.444027538,-2.317545558,0.214750256,0.116055938,0.521133324,1.468208894,0.510524932,1.680177269,0.144372186,-0.385956766,-0.326023883,-0.3697359,-0.363452467,-0.920121061
Psd,-0.490131512,-0.339355482,-0.041391036,-0.151187682,0.040731778,0.043103311,-0.16108393,-1.948009369,0.73886841,-0.088629128,0.200886954,0.343139729,3.446563973,0.293890291,-0.11380661,-0.536895297,-2.079501088,-0.130086384,-0.075851377,0.492196843,1.392056462,0.634959586,0.111767226,-0.034597395,0.834253979,-1.627051747,0.17720015,-0.286300893,-0.645739764
Ptpn22,0.317291883,0.788776508,0.923296084,1.208741043,0.310935135,2.399830176,0.513684951,2.589137222,-0.700758195,-1.375274011,-0.415095028,-0.925339162,-0.80096167,0.608243726,0.049584948,0.124470537,-1.375274011,-0.636719849,0.232627124,0.117786477,-0.551997667,-0.633739585,-1.375274011,-0.857651571,0.82918521,-1.046170197,-0.120336027,-0.404012352,0.20501231
Rgs13,-0.568468911,-0.221463088,-0.4985394,-0.834552556,-0.592484666,-0.796274718,-0.267114855,-1.707381144,-0.312209892,0.28391572,-0.029697287,0.970373318,2.137822817,0.703077969,0.155726171,0.45858667,-1.843410745,0.052196436,0.335997159,0.52257774,0.658616074,0.172209712,-0.970952218,-0.931631878,3.055290143,0.262028634,0.578075966,-0.074235596,-0.698077572
Rgs6,0.637143861,0.514288247,0.785919992,1.24505876,0.994939634,2.570620405,0.8086839,2.812929766,-0.071814267,0.076110261,0.2060285,0.212023784,-0.303334389,-0.848326066,0.196165806,-0.848326066,-0.848326066,-0.848326066,-0.848326066,-0.848326066,-0.346180225,-0.848326066,-0.082253781,-0.848326066,-0.076417464,-0.848326066,-0.848326066,-0.848326066,-0.848326066
Ric1,-0.271143448,1.610069189,1.687898622,1.181218634,-0.376501152,1.713841767,-0.017505108,0.889257081,-0.762005901,-0.921753407,-0.975169278,-0.871692218,-0.977359009,1.24444986,1.141982223,-0.984245253,-0.984245253,-0.952945109,1.220828627,0.753618539,-0.963715898,-0.912345126,-0.956119512,-0.725467057,0.389664761,-0.950244687,0.035509708,-0.280872127,1.014990531
Rnase4,-0.052705393,0.058851558,0.275156044,1.229171053,0.750984917,2.617045408,1.134388589,3.482386339,-0.478867763,-0.387678588,-0.322249172,-0.782449392,-0.691576911,-0.291091282,-0.054574804,-0.064444561,-0.984155247,-0.984155247,-0.385205512,-0.375518187,-0.492029489,-0.481009797,-0.245909728,-0.176028159,-0.516853516,-0.361976224,-0.661503362,-0.387027779,-0.370973794
Ruvbl1,-0.268405755,0.824712973,0.979821893,1.187188855,0.409606827,1.669148072,0.572718525,3.465616616,-1.08609734,-0.318858192,-1.096136892,-1.099456527,-0.806681542,0.061608431,0.173389378,0.384341427,0.249531679,-1.135948345,0.02337076,-0.14509898,-1.103248622,-0.652640312,-0.556048644,-0.40798909,-0.337697861,-1.118707273,-0.079796834,-0.189729731,0.401486505
Ryr1,-0.926119812,-0.286743176,-0.462156897,-0.798061419,-0.124229301,-0.884852948,-2.131517407,-1.395813855,-1.010049901,0.72131948,0.807959828,0.554418613,-0.237161367,1.080140264,0.255943711,1.035555668,-2.131517407,0.553676452,1.750338545,0.157505762,0.380615654,-0.139218191,0.301693773,0.250514946,1.893053231,1.267219646,-0.297422039,0.410686892,-0.595778744
